TradeId,BookId,Product
1,FO001,FXOption
1,FO001,FXOption
2,FO001,FXOption
3,FO001,FXOption
4,FO001,FXOption
5,FO001,FXOption
6,FO001,FXOption
7,FO001,FXOption
8,FO001,FXOption
9,FO001,FXOption
10,FO001,FXOption
11,FO001,FXOption
12,FO001,FXOption
13,FO001,FXOption
14,FO001,FXOption
15,FO001,FXOption
16,FO001,FXOption
17,FO001,FXOption
18,FO001,FXOption
19,FO001,FXOption
20,FO001,FXOption
21,FO001,FXOption
22,FO001,FXOption
23,FO001,FXOption
24,FO001,FXOption
25,FO001,FXOption
26,FO001,FXOption
27,FO001,FXOption
28,FO001,FXOption
29,FO001,FXOption
30,FO001,FXOption
31,FO001,FXOption
32,FO001,FXOption
33,FO001,FXOption
34,FO001,FXOption
35,FO001,FXOption
36,FO001,FXOption
37,FO001,FXOption
38,FO001,FXOption
39,FO001,FXOption
40,FO001,FXOption
41,FO001,FXOption
42,FO001,FXOption
43,FO001,FXOption
44,FO001,FXOption
45,FO001,FXOption
46,FO001,FXOption
47,FO001,FXOption
48,FO001,FXOption
49,FO001,FXOption
50,FO001,FXOption
51,FO001,FXOption
52,FO001,FXOption
53,FO001,FXOption
54,FO001,FXOption
55,FO001,FXOption
56,FO001,FXOption
57,FO001,FXOption
58,FO001,FXOption
59,FO001,FXOption
60,FO001,FXOption
61,FO001,FXOption
62,FO001,FXOption
63,FO001,FXOption
64,FO001,FXOption
65,FO001,FXOption
66,FO001,FXOption
67,FO001,FXOption
68,FO001,FXOption
69,FO001,FXOption
70,FO001,FXOption
71,FO001,FXOption
72,FO001,FXOption
73,FO001,FXOption
74,FO001,FXOption
75,FO001,FXOption
76,FO001,FXOption
77,FO001,FXOption
78,FO001,FXOption
79,FO001,FXOption
80,FO001,FXOption
81,FO001,FXOption
82,FO001,FXOption
83,FO001,FXOption
84,FO001,FXOption
85,FO001,FXOption
86,FO001,FXOption
87,FO001,FXOption
88,FO001,FXOption
89,FO001,FXOption
90,FO001,FXOption
91,FO001,FXOption
92,FO001,FXOption
93,FO001,FXOption
94,FO001,FXOption
95,FO001,FXOption
96,FO001,FXOption
97,FO001,FXOption
98,FO001,FXOption
99,FO001,FXOption
100,FO001,FXOption
101,FO001,FXOption
102,FO001,FXOption
103,FO001,FXOption
104,FO001,FXOption
105,FO001,FXOption
106,FO001,FXOption
107,FO001,FXOption
108,FO001,FXOption
109,FO001,FXOption
110,FO001,FXOption
111,FO001,FXOption
112,FO001,FXOption
113,FO001,FXOption
114,FO001,FXOption
115,FO001,FXOption
116,FO001,FXOption
117,FO001,FXOption
118,FO001,FXOption
119,FO001,FXOption
120,FO001,FXOption
121,FO001,FXOption
122,FO001,FXOption
123,FO001,FXOption
124,FO001,FXOption
125,FO001,FXOption
126,FO001,FXOption
127,FO001,FXOption
128,FO001,FXOption
129,FO001,FXOption
130,FO001,FXOption
131,FO001,FXOption
132,FO001,FXOption
133,FO001,FXOption
134,FO001,FXOption
135,FO001,FXOption
136,FO001,FXOption
137,FO001,FXOption
138,FO001,FXOption
139,FO001,FXOption
140,FO001,FXOption
141,FO001,FXOption
142,FO001,FXOption
143,FO001,FXOption
144,FO001,FXOption
145,FO001,FXOption
146,FO001,FXOption
147,FO001,FXOption
148,FO001,FXOption
149,FO001,FXOption
150,FO001,FXOption
151,FO001,FXOption
152,FO001,FXOption
153,FO001,FXOption
154,FO001,FXOption
155,FO001,FXOption
156,FO001,FXOption
157,FO001,FXOption
158,FO001,FXOption
159,FO001,FXOption
160,FO001,FXOption
161,FO001,FXOption
162,FO001,FXOption
163,FO001,FXOption
164,FO001,FXOption
165,FO001,FXOption
166,FO001,FXOption
167,FO001,FXOption
168,FO001,FXOption
169,FO001,FXOption
170,FO001,FXOption
171,FO001,FXOption
172,FO001,FXOption
173,FO001,FXOption
174,FO001,FXOption
175,FO001,FXOption
176,FO001,FXOption
177,FO001,FXOption
178,FO001,FXOption
179,FO001,FXOption
180,FO001,FXOption
181,FO001,FXOption
182,FO001,FXOption
183,FO001,FXOption
184,FO001,FXOption
185,FO001,FXOption
186,FO001,FXOption
187,FO001,FXOption
188,FO001,FXOption
189,FO001,FXOption
190,FO001,FXOption
191,FO001,FXOption
192,FO001,FXOption
193,FO001,FXOption
194,FO001,FXOption
195,FO001,FXOption
196,FO001,FXOption
197,FO001,FXOption
198,FO001,FXOption
199,FO001,FXOption
200,FO001,FXOption
201,FO001,FXOption
202,FO001,FXOption
203,FO001,FXOption
204,FO001,FXOption
205,FO001,FXOption
206,FO001,FXOption
207,FO001,FXOption
208,FO001,FXOption
209,FO001,FXOption
210,FO001,FXOption
211,FO001,FXOption
212,FO001,FXOption
213,FO001,FXOption
214,FO001,FXOption
215,FO001,FXOption
216,FO001,FXOption
217,FO001,FXOption
218,FO001,FXOption
219,FO001,FXOption
220,FO001,FXOption
221,FO001,FXOption
222,FO001,FXOption
223,FO001,FXOption
224,FO001,FXOption
225,FO001,FXOption
226,FO001,FXOption
227,FO001,FXOption
228,FO001,FXOption
229,FO001,FXOption
230,FO001,FXOption
231,FO001,FXOption
232,FO001,FXOption
233,FO001,FXOption
234,FO001,FXOption
235,FO001,FXOption
236,FO001,FXOption
237,FO001,FXOption
238,FO001,FXOption
239,FO001,FXOption
240,FO001,FXOption
241,FO001,FXOption
242,FO001,FXOption
243,FO001,FXOption
244,FO001,FXOption
245,FO001,FXOption
246,FO001,FXOption
247,FO001,FXOption
248,FO001,FXOption
249,FO001,FXOption
250,FO001,FXOption
251,FO001,FXOption
252,FO001,FXOption
253,FO001,FXOption
254,FO001,FXOption
255,FO001,FXOption
256,FO001,FXOption
257,FO001,FXOption
258,FO001,FXOption
259,FO001,FXOption
260,FO001,FXOption
261,FO001,FXOption
262,FO001,FXOption
263,FO001,FXOption
264,FO001,FXOption
265,FO001,FXOption
266,FO001,FXOption
267,FO001,FXOption
268,FO001,FXOption
269,FO001,FXOption
270,FO001,FXOption
271,FO001,FXOption
272,FO001,FXOption
273,FO001,FXOption
274,FO001,FXOption
275,FO001,FXOption
276,FO001,FXOption
277,FO001,FXOption
278,FO001,FXOption
279,FO001,FXOption
280,FO001,FXOption
281,FO001,FXOption
282,FO001,FXOption
283,FO001,FXOption
284,FO001,FXOption
285,FO001,FXOption
286,FO001,FXOption
287,FO001,FXOption
288,FO001,FXOption
289,FO001,FXOption
290,FO001,FXOption
291,FO001,FXOption
292,FO001,FXOption
293,FO001,FXOption
294,FO001,FXOption
295,FO001,FXOption
296,FO001,FXOption
297,FO001,FXOption
298,FO001,FXOption
299,FO001,FXOption
300,FO001,FXOption
301,FO001,FXOption
302,FO001,FXOption
303,FO001,FXOption
304,FO001,FXOption
305,FO001,FXOption
306,FO001,FXOption
307,FO001,FXOption
308,FO001,FXOption
309,FO001,FXOption
310,FO001,FXOption
311,FO001,FXOption
312,FO001,FXOption
313,FO001,FXOption
314,FO001,FXOption
315,FO001,FXOption
316,FO001,FXOption
317,FO001,FXOption
318,FO001,FXOption
319,FO001,FXOption
320,FO001,FXOption
321,FO001,FXOption
322,FO001,FXOption
323,FO001,FXOption
324,FO001,FXOption
325,FO001,FXOption
326,FO001,FXOption
327,FO001,FXOption
328,FO001,FXOption
329,FO001,FXOption
330,FO001,FXOption
331,FO001,FXOption
332,FO001,FXOption
333,FO001,FXOption
334,FO001,FXOption
335,FO001,FXOption
336,FO001,FXOption
337,FO001,FXOption
338,FO001,FXOption
339,FO001,FXOption
340,FO001,FXOption
341,FO001,FXOption
342,FO001,FXOption
343,FO001,FXOption
344,FO001,FXOption
345,FO001,FXOption
346,FO001,FXOption
347,FO001,FXOption
348,FO001,FXOption
349,FO001,FXOption
350,FO001,FXOption
351,FO001,FXOption
352,FO001,FXOption
353,FO001,FXOption
354,FO001,FXOption
355,FO001,FXOption
356,FO001,FXOption
357,FO001,FXOption
358,FO001,FXOption
359,FO001,FXOption
360,FO001,FXOption
361,FO001,FXOption
362,FO001,FXOption
363,FO001,FXOption
364,FO001,FXOption
365,FO001,FXOption
366,FO001,FXOption
367,FO001,FXOption
368,FO001,FXOption
369,FO001,FXOption
370,FO001,FXOption
371,FO001,FXOption
372,FO001,FXOption
373,FO001,FXOption
374,FO001,FXOption
375,FO001,FXOption
376,FO001,FXOption
377,FO001,FXOption
378,FO001,FXOption
379,FO001,FXOption
380,FO001,FXOption
381,FO001,FXOption
382,FO001,FXOption
383,FO001,FXOption
384,FO001,FXOption
385,FO001,FXOption
386,FO001,FXOption
387,FO001,FXOption
388,FO001,FXOption
389,FO001,FXOption
390,FO001,FXOption
391,FO001,FXOption
392,FO001,FXOption
393,FO001,FXOption
394,FO001,FXOption
395,FO001,FXOption
396,FO001,FXOption
397,FO001,FXOption
398,FO001,FXOption
399,FO001,FXOption
400,FO001,FXOption
401,FO001,FXOption
402,FO001,FXOption
403,FO001,FXOption
404,FO001,FXOption
405,FO001,FXOption
406,FO001,FXOption
407,FO001,FXOption
408,FO001,FXOption
409,FO001,FXOption
410,FO001,FXOption
411,FO001,FXOption
412,FO001,FXOption
413,FO001,FXOption
414,FO001,FXOption
415,FO001,FXOption
416,FO001,FXOption
417,FO001,FXOption
418,FO001,FXOption
419,FO001,FXOption
420,FO001,FXOption
421,FO001,FXOption
422,FO001,FXOption
423,FO001,FXOption
424,FO001,FXOption
425,FO001,FXOption
426,FO001,FXOption
427,FO001,FXOption
428,FO001,FXOption
429,FO001,FXOption
430,FO001,FXOption
431,FO001,FXOption
432,FO001,FXOption
433,FO001,FXOption
434,FO001,FXOption
435,FO001,FXOption
436,FO001,FXOption
437,FO001,FXOption
438,FO001,FXOption
439,FO001,FXOption
440,FO001,FXOption
441,FO001,FXOption
442,FO001,FXOption
443,FO001,FXOption
444,FO001,FXOption
445,FO001,FXOption
446,FO001,FXOption
447,FO001,FXOption
448,FO001,FXOption
449,FO001,FXOption
450,FO001,FXOption
451,FO001,FXOption
452,FO001,FXOption
453,FO001,FXOption
454,FO001,FXOption
455,FO001,FXOption
456,FO001,FXOption
457,FO001,FXOption
458,FO001,FXOption
459,FO001,FXOption
460,FO001,FXOption
461,FO001,FXOption
462,FO001,FXOption
463,FO001,FXOption
464,FO001,FXOption
465,FO001,FXOption
466,FO001,FXOption
467,FO001,FXOption
468,FO001,FXOption
469,FO001,FXOption
470,FO001,FXOption
471,FO001,FXOption
472,FO001,FXOption
473,FO001,FXOption
474,FO001,FXOption
475,FO001,FXOption
476,FO001,FXOption
477,FO001,FXOption
478,FO001,FXOption
479,FO001,FXOption
480,FO001,FXOption
481,FO001,FXOption
482,FO001,FXOption
483,FO001,FXOption
484,FO001,FXOption
485,FO001,FXOption
486,FO001,FXOption
487,FO001,FXOption
488,FO001,FXOption
489,FO001,FXOption
490,FO001,FXOption
491,FO001,FXOption
492,FO001,FXOption
493,FO001,FXOption
494,FO001,FXOption
495,FO001,FXOption
496,FO001,FXOption
497,FO001,FXOption
498,FO001,FXOption
499,FO001,FXOption
500,FO001,FXOption
501,FO001,FXOption
502,FO001,FXOption
503,FO001,FXOption
504,FO001,FXOption
505,FO001,FXOption
506,FO001,FXOption
507,FO001,FXOption
508,FO001,FXOption
509,FO001,FXOption
510,FO001,FXOption
511,FO001,FXOption
512,FO001,FXOption
513,FO001,FXOption
514,FO001,FXOption
515,FO001,FXOption
516,FO001,FXOption
517,FO001,FXOption
518,FO001,FXOption
519,FO001,FXOption
520,FO001,FXOption
521,FO001,FXOption
522,FO001,FXOption
523,FO001,FXOption
524,FO001,FXOption
525,FO001,FXOption
526,FO001,FXOption
527,FO001,FXOption
528,FO001,FXOption
529,FO001,FXOption
530,FO001,FXOption
531,FO001,FXOption
532,FO001,FXOption
533,FO001,FXOption
534,FO001,FXOption
535,FO001,FXOption
536,FO001,FXOption
537,FO001,FXOption
538,FO001,FXOption
539,FO001,FXOption
540,FO001,FXOption
541,FO001,FXOption
542,FO001,FXOption
543,FO001,FXOption
544,FO001,FXOption
545,FO001,FXOption
546,FO001,FXOption
547,FO001,FXOption
548,FO001,FXOption
549,FO001,FXOption
550,FO001,FXOption
551,FO001,FXOption
552,FO001,FXOption
553,FO001,FXOption
554,FO001,FXOption
555,FO001,FXOption
556,FO001,FXOption
557,FO001,FXOption
558,FO001,FXOption
559,FO001,FXOption
560,FO001,FXOption
561,FO001,FXOption
562,FO001,FXOption
563,FO001,FXOption
564,FO001,FXOption
565,FO001,FXOption
566,FO001,FXOption
567,FO001,FXOption
568,FO001,FXOption
569,FO001,FXOption
570,FO001,FXOption
571,FO001,FXOption
572,FO001,FXOption
573,FO001,FXOption
574,FO001,FXOption
575,FO001,FXOption
576,FO001,FXOption
577,FO001,FXOption
578,FO001,FXOption
579,FO001,FXOption
580,FO001,FXOption
581,FO001,FXOption
582,FO001,FXOption
583,FO001,FXOption
584,FO001,FXOption
585,FO001,FXOption
586,FO001,FXOption
587,FO001,FXOption
588,FO001,FXOption
589,FO001,FXOption
590,FO001,FXOption
591,FO001,FXOption
592,FO001,FXOption
593,FO001,FXOption
594,FO001,FXOption
595,FO001,FXOption
596,FO001,FXOption
597,FO001,FXOption
598,FO001,FXOption
599,FO001,FXOption
600,FO001,FXOption
601,FO001,FXOption
602,FO001,FXOption
603,FO001,FXOption
604,FO001,FXOption
605,FO001,FXOption
606,FO001,FXOption
607,FO001,FXOption
608,FO001,FXOption
609,FO001,FXOption
610,FO001,FXOption
611,FO001,FXOption
612,FO001,FXOption
613,FO001,FXOption
614,FO001,FXOption
615,FO001,FXOption
616,FO001,FXOption
617,FO001,FXOption
618,FO001,FXOption
619,FO001,FXOption
620,FO001,FXOption
621,FO001,FXOption
622,FO001,FXOption
623,FO001,FXOption
624,FO001,FXOption
625,FO001,FXOption
626,FO001,FXOption
627,FO001,FXOption
628,FO001,FXOption
629,FO001,FXOption
630,FO001,FXOption
631,FO001,FXOption
632,FO001,FXOption
633,FO001,FXOption
634,FO001,FXOption
635,FO001,FXOption
636,FO001,FXOption
637,FO001,FXOption
638,FO001,FXOption
639,FO001,FXOption
640,FO001,FXOption
641,FO001,FXOption
642,FO001,FXOption
643,FO001,FXOption
644,FO001,FXOption
645,FO001,FXOption
646,FO001,FXOption
647,FO001,FXOption
648,FO001,FXOption
649,FO001,FXOption
650,FO001,FXOption
651,FO001,FXOption
652,FO001,FXOption
653,FO001,FXOption
654,FO001,FXOption
655,FO001,FXOption
656,FO001,FXOption
657,FO001,FXOption
658,FO001,FXOption
659,FO001,FXOption
660,FO001,FXOption
661,FO001,FXOption
662,FO001,FXOption
663,FO001,FXOption
664,FO001,FXOption
665,FO001,FXOption
666,FO001,FXOption
